Name,Currency,Price,Discount Price,SKU,Stock Quantity,Category,Sub Category,Description,Origin
Product1,USD,50.00,45.00,SKU001,100,Electronics,Mobile Phones,High-quality smartphone with 64GB storage.,
Product2,USD,20.00,18.00,SKU002,200,Home Appliances,Kitchen,Durable stainless steel frying pan.,
Product3,USD,10.00,9.00,SKU003,300,lamp,Novels,Bestselling fiction novel of the year.,
Product4,USD,15.00,12.00,SKU004,150,room decor,Board Games,Fun family board game for all ages.,
Product5,USD,25.00,22.00,SKU005,180,Fashion,Clothing,Casual t-shirt made of 100% cotton.,
Product6,USD,100.00,95.00,SKU006,50,Electronics,Laptops,Lightweight laptop with 8GB RAM and SSD storage.,
Product7,USD,8.00,7.00,SKU007,500,Groceries,Beverages,Organic green tea pack of 20 bags.,
Product8,USD,30.00,28.00,SKU008,120,Fashion,Shoes,Comfortable running shoes with shock absorption.,
Product9,USD,12.00,10.00,SKU009,250,Stationery,Pens,Set of 10 smooth gel pens in various colors.,
Product10,USD,40.00,35.00,SKU010,75,Furniture,Chairs,Ergonomic office chair with adjustable height.,
