1,"Samsung Galaxy S23 Ultra","Latest flagship smartphone with advanced camera features and powerful performance.",121234,43,SAMS23ULTRA,review,"2025-01-15 21:37:26.102174","2025-02-28 12:24:34.370125",0,0,,"2025-01-15 21:37:26.102198",2,1,1,Samsung,2222222
2,Headphones,"Sony WH-1000XM5 The Best Wireless Noise Canceling Headphones, Made Of Soft Fit Synthetic Leather, Integrated Processor V1, With 4 Beamforming Microphones, Up To 30-Hour Battery Life, Silver",1121.5,15,HD-001,review,"2025-01-17 11:56:08.698774","2025-01-17 11:56:08.698785",0,0,,"2025-01-17 11:56:08.698796",2,3,3,sony,111
3,"Sony Wireless Noise Canceling Headphones (Black) Bundle with Deco Gear Hard Case + Pro Audio Headphone Stand + Microfiber Cleaning Cloth","Brand	Sony
Color	Black
Ear Placement	Over Ear
Form Factor	Over Ear
Impedance	48 Ohm",1309,5,HD-002,review,"2025-01-17 12:10:07.994177","2025-02-28 13:02:36.071358",0,0,"<h1>&nbsp;</h1>

<ul>
	<li><strong>Sony AUTHORIZED</strong> - Includes Full Sony USA Protection | Sony WH-1000XM5 Wireless Industry Leading Noise Canceling Headphones</li>
	<li><strong>Industry-leading Noise Cancellation</strong> - From airplane noise to people&rsquo;s voices, our WH-1000XM5 wireless headphones keep out more high and mid frequency sounds than ever. And with Auto NC Optimizer, noise canceling is automatically optimized based on your wearing conditions and environment.</li>
	<li><strong>Multi Noise Sensor technology </strong>- With 8 total microphones, these headphone are our biggest step forward in noise canceling technology. Ambient sound is captured even more accurately for a dramatic reduction in high frequency noise. Thanks to Auto NC Optimizer, noise canceling performance is always and automatically optimized based on wearing conditions and external environmental factors such as atmospheric pressure.</li>
	<li>Industry-leading noise cancellation | Magnificent Sound | Crystal clear hands-free calling | Up to 30-hour battery life with quick charging (3 min charge for 3 hours of playback) | Ultra-comfortable, lightweight design with soft fit leather | Multipoint connection allows you to quickly switch between devices | Redesigned collapsible case made for easy storage in a bag | Intuitive touch control settings | Speak-to-Chat and Quick Attention mode | Instant pause. Instant play.</li>
	<li><strong>HEADPHONES BUNDLE INCLUDES:</strong> Sony WH-1000XM5 Wireless Industry Leading Noise Canceling Bluetooth Headphones - Black | Carrying Case | Headphone Cable | USB Charging Cable | Deco Gear Full-Sized Premium Hard Body Professional Headphone Case with Plush Interior | Deco Gear Pro Audio Headphone Stand Matte Black | Deco Gear 6 x 6 inch Microfiber Cleaning Cloth</li>
</ul>","2025-01-17 12:10:07.994199",2,3,3,sony,222
4,"Graphite Pickleball Paddles Set- Premium Rackets","Size	One Size
Brand	OLANNY
Sport	Pickleball
Skill Level	Professional
Frame Material	Graphite
Item Weight	20.3 Grams",183,2,SP-001,review,"2025-01-17 12:20:49.142083","2025-02-15 10:28:28.272991",0,0,,"2025-01-17 12:20:49.142108",5,12,3,OLANNY,333
5,"Eastpoint Axe Throw & Lawn Dart","Target Sets - Bristle Axe Throwing Target & 2-in-1 Combo Backyard Game for Indoors and Outdoors",191,1,SP-002,review,"2025-01-17 12:27:06.243296","2025-01-18 22:14:25.256066",0,0,,"2025-01-17 12:27:06.243318",5,12,3,Eastpoint,444
6,"Short Niqab","SHORT SIZE PLAIN NOSEPIECE NOSEPIECE HIJAB NOSEPIECE FOR MUSLIM GIRLS",299,32,FA-001,review,"2025-01-17 12:44:10.242256","2025-01-17 12:44:10.242266",0,0,,"2025-01-17 12:44:10.242278",3,5,3,generic,555
7,"AQVA Printed Cotton Scarf for Women","AQVA Printed Cotton Scarf for Women, Lightweight Soft Scarves Stoles for Summer & Winter (Size: 43 X 75 Inches)",727,5,FA-002,review,"2025-01-17 12:49:22.509640","2025-01-17 12:49:22.509651",0,0,,"2025-01-17 12:49:22.509662",3,5,3,,999
8,"Mens Jackets for Winter","MIA FASHION Mens Jackets for Winter, Lightweight Bomber Jacket, Full Sleeve, Regular Fit, Stylish Stand Collar, Zipper Closure",33,18,FA-006,review,"2025-01-17 12:57:00.663709","2025-01-17 12:57:00.663719",0,0,,"2025-01-17 12:57:00.663730",3,4,3,,
9,"Shirt for Men","GRECIILOOKS Shirt for Men | Mens Casual Shirt | Men Stylish Shirt | Men Polycotton Shirt | Men's Regular Fit | Men Formal Shirt | Men's Solid Slim Fit",12,16,FA-004,review,"2025-01-17 12:59:17.190120","2025-01-17 12:59:17.190130",0,0,"<ul>
	<li><strong>Package Includes </strong>: Pack of 1 Fancy Textured Shirts For Men</li>
	<li><strong>Sleeve and Material </strong>: Full Sleeve Popcorn Material Men&#39;s shirt</li>
	<li><strong>Collar and Fit Type :</strong> Regular Fit Pointed Collar Fancy Casual Shirt for Men</li>
	<li><strong>Enhance Look </strong>: Enhance Your Look by Wearing this Casual Stylish Men&#39;s shirt, Team it with a Pair of Tapered Denims Or Solid Chinos and Loafers for a fun Smart Casual Look.</li>
	<li><strong>Perfect For </strong>: Perfect Gift You Can Gift This Shirt to You Friend, Father, Grandfather, Boyfriend on Birthday, Festivals. We Offer the Right Blend of Quality, Style and Value Aimed to Delight Our Customers. Look Like the Professional That You Are with a Clean, Classic Design That Gives You the Comfort Needed for All Occasions, Office Meetings, Business Daily Routine</li>
</ul>","2025-01-17 12:59:17.190141",3,5,3,,
10,"Men's Printed Regular Fit Shirt","Leriya Fashion Men's Printed Regular Fit Shirt",14,10,FA-008,review,"2025-01-17 13:01:04.926094","2025-01-18 21:33:29.122695",0,0,,"2025-01-17 13:01:04.926115",3,5,3,,
11,"Juicer Mixer Grinder","nutripro Copper Juicer Mixer Grinder - Smoothie Maker - 500 Watts (3 Jars, Silver) - 2 Year Warranty",73,4,FA-005,review,"2025-01-17 13:04:14.084931","2025-01-19 22:47:48.154867",0,0,,"2025-01-17 13:04:14.084951",4,8,3,,322
